"country","pop"
"BG",7404590
"CZ",10536290
"HU",9927840
"PL",38323400
"RO",20440350
"SK",5404290
"DK",5554840
"EE",1332100
"FI",5365780
"IS",320330
"IE",4626930
"LV",2118850
"LT",3123800
"NO",4885880
"SE",9390170
"UK",63306840
"HR",4328150
"EL",11446010
"IT",59729810
"PT",10652320
"SI",2045170
"ES",46788630
"AT",8409950
"BE",10938740
"FR",63026740
"DE",80894790
"LU",507890
"NL",16682920
